team,elo
Argentina,2080.498908659624
France,2056.96775143325
England,2017.4659397968733
Spain,2005.8191844922305
Germany,2000.3906504782901
Brazil,1966.7148583551661
Morocco,1958.6182310887716
United States,1956.176762761734
Colombia,1955.612007538884
Mexico,1953.8461102176934
Japan,1944.6135073875446
Netherlands,1940.4612515791562
Australia,1924.9457231366112
Portugal,1923.2504714554016
South Korea,1904.4133061194373
Croatia,1878.748499346697
Norway,1856.5002832495093
Iran,1851.1796557741004
Senegal,1844.246934618728
Belgium,1843.8768802358481
Uruguay,1842.372275797372
Sweden,1830.977484281325
Scotland,1828.0829611234046
Ivory Coast,1826.7940557031056
Italy,1823.2774951028368
Nigeria,1820.4308491401364
Switzerland,1817.6455646868221
Algeria,1816.8111941347577
Egypt,1816.588149779749
Denmark,1811.26837170585
Turkey,1808.2249233089224
Panama,1808.0450943204703
Uzbekistan,1799.9633684934756
New Zealand,1791.8219063874717
Austria,1777.2550228100422
Russia,1774.9601719793725
Iraq,1766.4479453035992
Saudi Arabia,1753.8279977014581
Canada,1738.2262256798663
Ecuador,1736.0097697033802
DR Congo,1727.1827803332606
Costa Rica,1724.6953875519391
Qatar,1720.0064285039946
Jordan,1719.9114687878323
Venezuela,1716.6574700198971
Paraguay,1716.6332489976578
United Arab Emirates,1711.0584279685452
Serbia,1708.9754436048215
Poland,1701.3794772623992
Cameroon,1700.548019796733
Ukraine,1697.239339876967
Chile,1693.6974665111916
Wales,1693.2016736155992
Hungary,1690.71469344741
Greece,1688.204419201638
Peru,1686.6405070495064
Mali,1685.3262553783502
Czech Republic,1681.2661102952156
Republic of Ireland,1671.090753720801
Honduras,1667.6708000805495
Bolivia,1663.9764275671537
Kosovo,1658.7613424087435
Cape Verde,1648.6391615767443
Côte d'Ivoire,1647.9134553205404
Jamaica,1645.80102574081
Slovakia,1640.1802885403356
Guatemala,1633.6479300806125
Slovenia,1630.0924315535135
South Africa,1625.7836832850378
Ghana,1625.027607406452
Burkina Faso,1623.19046626908
Georgia,1607.9363124681608
Basque Country,1606.9097482123912
Oman,1604.522319670198
Romania,1601.3080540687906
Bosnia and Herzegovina,1596.764893176838
Albania,1593.41083909064
Haiti,1584.7877718382254
Cabo Verde,1581.7176576024133
Curaçao,1574.9646446926502
Catalonia,1572.3564868375947
Suriname,1571.5934374588437
Indonesia,1569.8967390999192
Bosnia & Herzegovina,1569.4336997526466
Angola,1567.2277309946571
Thailand,1564.9049808341424
Palestine,1560.43023392951
Syria,1560.361565412474
Occitania,1560.3325026171256
China,1559.2848309355186
Northern Ireland,1558.6645354782158
Tunisia,1554.1219077427043
Andalusia,1550.8280710659617
Trinidad and Tobago,1549.7236112506027
North Macedonia,1548.2486908707283
Israel,1547.1016431658843
Gabon,1542.338692172459
Guinea,1542.092617133059
Bahrain,1536.5207496854894
Guadeloupe,1533.7957826864297
Zambia,1531.173106128759
Uganda,1530.4067456249709
Kernow,1530.2280293690856
Yorkshire,1529.147872788317
New Caledonia,1524.9358923633304
Iceland,1524.0246390804043
Provence,1521.4530878102476
Malaysia,1519.978007388478
Kyrgyzstan,1519.7463932760716
Sealand,1519.6242368764815
Panjab,1518.3289053721
Gozo,1516.3894325343977
Corsica,1515.048136240766
Elba Island,1514.8944141689342
Tajikistan,1514.619775734629
United Koreans in Japan,1512.5
Galicia,1512.316157746903
Franconia,1511.1902067644965
East Turkestan,1510.625
Ynys Môn,1510.0
Ellan Vannin,1509.2290965676475
Artsakh,1508.75
Libya,1508.7489192138428
Tamil Eelam,1508.7177723293944
Cascadia,1508.2841676135754
Székely Land,1507.8223418901166
Comoros,1507.637970986815
Gambia,1507.5389022467934
Surrey,1507.4689416279832
Brittany,1507.150326106465
Parishes of Jersey,1505.2966492913747
Guernsey,1505.23474885087
Abkhazia,1504.76018248043
Donetsk PR,1502.030651094443
Silesia,1502.0008638458075
Canary Islands,1500.9301856595655
Padania,1500.166654810246
Åland Islands,1500.0
Saugeais,1499.695331403212
Northern Cyprus,1498.8488788272434
Niger,1497.4080702271262
Dominican Republic,1497.2186713466194
Nicaragua,1497.200651258529
Tuvalu,1496.3310906714323
Réunion,1496.2921846965958
Madrid,1495.665125412683
Greenland,1495.6453410173656
Sápmi,1495.5369650932885
Western Sahara,1495.367284694022
Seborga,1495.2134010555262
Benin,1494.631704567954
South Ossetia,1493.398744065474
Cilento,1493.159189639114
